"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SPDL1",1.09006631396171,6.2907165263226,7.00473567040597,3.86908398623455e-06,9.73004886044245e-05,4.53056271927187
"FAM89A",1.27844214363498,5.23648723744057,6.97116366230943,4.09531523959917e-06,0.000101632882546891,4.47339069158996
"PPIL1",1.0226688376695,7.1856260760243,6.94490733158527,4.28188281859182e-06,0.000104609007485078,4.42856527285066
"RAD18",1.00416120714483,5.22058240913083,6.93588199249785,4.34805084747724e-06,0.000105677271952363,4.41313434179007
"MMP12",1.85141838175905,7.6867573206021,6.92443903530601,4.43348566376618e-06,0.000107120268506391,4.39355325296322
"RIPK2",1.2218069749325,5.78768861653804,6.89386615338879,4.67047845500349e-06,0.000110379834380159,4.34114573586769
"NUP62CL",1.24934307218331,5.06904624836231,6.87967368136434,4.78496608540093e-06,0.000111541085578424,4.3167719889865
"DACH1",1.98813944996018,7.33609153222126,6.85029786364451,5.03136571816007e-06,0.000116140691994195,4.26623161179819
"HOXB8",1.78931689127601,5.56886233724513,6.81349756649282,5.35890852517708e-06,0.000121924982895661,4.20274404568128
"ORC6",1.18159787172587,7.40247564605675,6.81341973538581,5.35962443393541e-06,0.000121924982895661,4.20260956751497
"DNAJC15",1.06798593752228,8.73523876643282,6.804435903562,5.44293592938466e-06,0.000122929425858381,4.18708131727842
"NKD2",1.91684732713786,4.41965848245749,6.79825919275852,5.50100075001133e-06,0.000123328820372759,4.17639840546104
"VSNL1",1.94807399524028,5.92044153351982,6.79166564453357,5.56369971919085e-06,0.000123728273802454,4.16498855096283
"TMEM158",1.24650066765418,7.68409430280822,6.7766012770083,5.70977045088638e-06,0.000125495024752504,4.13889704393611
"GALNT6",1.63083763480379,5.93273237322264,6.77294264083974,5.7458480340822e-06,0.000125872434438701,4.13255539685198
"HPDL",1.6659240179974,6.15730673940012,6.7547378572112,5.92894289689174e-06,0.000128070605970015,4.10097200575142
"GRAMD1A",1.05702608093389,6.48746723863642,6.73791354915294,6.10358249147113e-06,0.000130200543385448,4.07174157581948
"ZFAS1",1.16053005192565,9.32083728665963,6.71147376144389,6.38898402782495e-06,0.000133863073579656,4.02572372402506
"CGREF1",1.29516804229747,4.53476070147743,6.70062781628819,6.51006455991126e-06,0.000135346110431003,4.00681777011035
"DUSP2",1.2963981907301,6.69596835796715,6.62960322028677,7.36463399379763e-06,0.000145867766463903,3.88259776523146
"CPNE1",1.10200083002006,8.56435274941554,6.60675624373678,7.66383014077871e-06,0.000149902289233341,3.84248621571519
"GDF15",1.39103266005498,6.95357138241038,6.60541935074716,7.68172639060549e-06,0.00015009647125876,3.84013678140683
"FAM83H",1.08613545981683,8.2516482402275,6.60293536106925,7.715094247353e-06,0.000150436351183376,3.83577078172972
"AJUBA",1.29113669355413,4.77476066748973,6.59231673304474,7.85945300652955e-06,0.000152305202501019,3.81709697557767
"TRMT6",1.23318733039599,6.4910505996359,6.56663963988271,8.22031692095767e-06,0.000157195826927065,3.77187514771071
"SRPX2",2.15189791384696,5.69669329476214,6.54335191945789,8.5625786573373e-06,0.000161497919029447,3.73078024966199
"TPX2",1.7384967810854,6.75684455909635,6.54028075888696,8.60881464933304e-06,0.000161577262472881,3.72535493612482
"ANLN",1.76119675827639,6.11602242976499,6.5348416065939,8.69134160987157e-06,0.000162356161021542,3.7157431883461
"TSPAN5",1.0776185986168,5.76379266912578,6.53446830764304,8.69703580753535e-06,0.000162356161021542,3.71508336218754
"GTF3A",1.51915458020258,10.0693799627553,6.52512378792286,8.84085155693852e-06,0.000164551660006417,3.69855995678746
"KIF18A",1.10102382588786,5.40592545043467,6.5223487134511,8.88403777665925e-06,0.000165029325011,3.69365055149287
"PITX1",1.04592807937922,6.15385394894328,6.51800454180806,8.95208558759521e-06,0.000165802835917349,3.68596304499578
"BMP4",1.21881260444144,7.93096322380898,6.51281649366596,9.03406597403191e-06,0.000166820072369045,3.67677868619693
"SAPCD2",1.53048087835539,7.54887350092819,6.51066815789538,9.06824273541986e-06,0.00016712389526041,3.67297438443081
"FTSJ1",1.00938563074577,8.108792441353,6.49345630103099,9.34698026770087e-06,0.000170912205142676,3.64247170857536
"NARS2",1.03593683364751,7.37412003803382,6.49246325410255,9.36333274083026e-06,0.000170912205142676,3.64071055604032
"UBE2C",1.71479050254229,8.88086328675168,6.47461897040094,9.66232164696918e-06,0.000174999510136838,3.60904012541635
"TMEM97",1.04357767032686,6.70306065689219,6.43635270754053,1.03375979341751e-05,0.000183006573955002,3.54097183118138
"IFITM3",1.2972267534957,10.9438826203456,6.43121175633023,1.04320050783565e-05,0.000184110621304395,3.53181123382366
"LACTB2",1.32715130044874,7.59764086483229,6.42439688659393,1.05585410963533e-05,0.000185350121240365,3.51966212235494
"NMU",1.95974089511105,5.51291819803285,6.4158860221696,1.07188213914091e-05,0.000187464920825053,3.50448025071529
"DPEP1",2.97420828104608,6.42933713157151,6.41000511226328,1.08310555726497e-05,0.000188204578197813,3.49398375060222
"LY6G6D",3.5002349410873,6.85242225445295,6.38757049074786,1.12706007702001e-05,0.00019369802564552,3.45389645893122
"AXIN2",1.30901682484839,5.79736929740835,6.37315213521318,1.156288282857e-05,0.00019692446741315,3.4280953933361
"POLR1D",1.19305987528803,8.45463817121812,6.37089758211287,1.16092964340474e-05,0.000197381947154586,3.42405830051575
"TACSTD2",1.73426019348526,4.83211376267614,6.35566158459821,1.19280942480202e-05,0.000200663419673039,3.39675725871315
"CXCL2",1.74105867215392,8.7294196441177,6.31013750524828,1.29362147675424e-05,0.000211699862173265,3.31498814383687
"TGIF2",1.11398564420331,5.89120838489714,6.30166391068754,1.3133472052866e-05,0.000213076726604466,3.29973579256602
"SLCO4A1",1.07277652361094,6.94405624496012,6.2967725818177,1.32487635278789e-05,0.000214025480112459,3.29092685737066
"RNF183",2.02716794788214,5.70353566525793,6.28879817880837,1.34389937859653e-05,0.000216356313634566,3.27655828973281
"PERP",1.03646497864624,7.88927002700899,6.26198864863654,1.40996980097311e-05,0.000223782276938048,3.22818619064487
"ACSL6",1.20797006698885,3.75846058443261,6.25907778075225,1.41734458848807e-05,0.000223782276938048,3.22292805571174
"CDKN3",1.11422050350947,6.56722155232328,6.23450020028849,1.48123957069442e-05,0.000231156823144989,3.17848406500156
