,logFC,logCPM,insert,PValue,FDR
CNN2,1.162918423,7.63656525,NA,1.71E-36,2.91E-35
ULBP2,4.155365883,1.044432598,NA,1.95E-36,3.31E-35
ZNF74,1.245521186,4.269712454,NA,1.99E-36,3.37E-35
EXOSC7,1.072527204,5.305382469,NA,2.22E-36,3.75E-35
GTSE1,1.341325269,4.41713622,NA,2.22E-36,3.75E-35
ATIC,1.05920017,7.182230559,NA,2.28E-36,3.86E-35
RRP9,1.452964952,5.628498701,NA,2.52E-36,4.24E-35
GINS1,1.670674424,5.054118846,NA,3.00E-36,5.03E-35
MTHFD2,1.378855465,6.554037825,NA,3.08E-36,5.16E-35
CARD14,2.351688548,2.255882745,NA,3.09E-36,5.17E-35
NTMT1,1.20367463,4.935651855,NA,3.25E-36,5.45E-35
ASCL5,4.068015132,0.773300421,NA,3.36E-36,5.62E-35
TG,4.109050597,3.40930381,NA,3.36E-36,5.62E-35
GTF3A,1.845890064,7.679569286,NA,3.36E-36,5.62E-35
CEP55,1.561897505,5.325106531,NA,3.41E-36,5.70E-35
ARMC10,1.017477915,5.563257957,NA,3.48E-36,5.80E-35
LINC01978,3.72819627,1.667201942,NA,3.57E-36,5.96E-35
ATAD2,1.587045122,5.744411394,NA,3.86E-36,6.43E-35
CCDC113,1.786547912,3.496666005,NA,4.23E-36,7.02E-35
MLXIPL,2.926476449,5.493765399,NA,5.39E-36,8.94E-35
TEDC2,1.741042903,3.216600977,NA,5.50E-36,9.11E-35
AC104958.2,2.859001948,2.329158339,NA,5.63E-36,9.33E-35
CDCA4,1.389470275,4.8305784,NA,7.47E-36,1.23E-34
CHPF,1.763015081,7.442247594,NA,8.76E-36,1.44E-34
JPH1,1.609600599,4.977138298,NA,8.95E-36,1.47E-34
FANCI,1.309439641,5.702491685,NA,1.00E-35,1.64E-34
CCDC150,2.022935835,1.521654059,NA,1.17E-35,1.92E-34
MELK,1.42889118,4.993036788,NA,1.22E-35,1.99E-34
LINC02253,5.685522566,1.213012026,NA,1.36E-35,2.22E-34
UTP14A,1.382000766,5.546005258,NA,1.39E-35,2.26E-34
GPT2,1.684319787,6.360321315,NA,1.53E-35,2.49E-34
KIF23,1.320213934,4.808595563,NA,1.77E-35,2.87E-34
DCAF13,1.300067211,6.129233436,NA,1.85E-35,3.01E-34
AMPD2,1.094489287,5.840333337,NA,1.95E-35,3.17E-34
NLE1,1.29867494,5.223402337,NA,1.96E-35,3.17E-34
IMPDH1P8,2.87557416,-1.15552782,NA,2.10E-35,3.40E-34
AP000697.1,5.069203172,-2.608455904,NA,2.20E-35,3.56E-34
CDK5RAP1,1.093261686,5.313555446,NA,2.20E-35,3.56E-34
IL11,4.610822904,2.290199827,NA,2.29E-35,3.69E-34
AC105219.4,2.634518126,-0.525874353,NA,2.29E-35,3.69E-34
SERPINA4,6.829360746,0.833916169,NA,2.31E-35,3.72E-34
ADAM12,4.043248347,4.500994124,NA,2.58E-35,4.15E-34
RFC4,1.183004522,4.60221314,NA,2.72E-35,4.37E-34
KLK7,8.310669959,2.671145793,NA,2.74E-35,4.39E-34
MMP3,4.834900008,5.606172963,NA,3.39E-35,5.42E-34
RAD54L,1.475332735,3.721285036,NA,3.66E-35,5.84E-34
CTPS1,1.129370007,5.5231236,NA,3.72E-35,5.94E-34
ANKS6,1.068278535,5.519095602,NA,3.92E-35,6.25E-34
LMTK3,2.239584541,2.954853358,NA,4.29E-35,6.83E-34
BOP1,1.973422411,7.086036022,NA,4.33E-35,6.89E-34
IER5L,2.028274665,4.047081978,NA,5.07E-35,8.06E-34
CHAF1B,1.322520563,4.0841412,NA,6.19E-35,9.82E-34
ZNF239,1.758410305,2.828021709,NA,6.34E-35,1.00E-33
LYAR,1.369997928,4.974530126,NA,6.74E-35,1.07E-33
TSACC,1.898951554,-0.725246246,NA,7.05E-35,1.11E-33
SHMT2,1.472865172,7.523914101,NA,7.37E-35,1.16E-33
AC021218.1,2.541301382,4.405364386,NA,7.43E-35,1.17E-33
KLK10,5.054231399,5.635279929,NA,9.34E-35,1.47E-33
TICRR,1.57052863,3.850942088,NA,1.02E-34,1.61E-33
CXCL3,2.920301722,5.567895077,NA,1.05E-34,1.65E-33
DMBX1,5.885123124,-0.075241432,NA,1.07E-34,1.69E-33
MNX1-AS1,1.936081135,2.099266115,NA,1.16E-34,1.82E-33
RPS6KL1,1.475220671,3.443352234,NA,1.17E-34,1.83E-33
HOMER1,1.927816799,3.190238763,NA,1.48E-34,2.32E-33
LZTS3,2.261273571,5.390301422,NA,1.57E-34,2.45E-33
NUDCD1,1.376619071,5.141264724,NA,1.57E-34,2.45E-33
NAT9,1.161091255,5.209544496,NA,1.58E-34,2.47E-33
NKPD1,3.202541993,-0.159881398,NA,1.94E-34,3.03E-33
SP5,3.688936526,3.875746613,NA,2.15E-34,3.34E-33
TEX45,2.384814115,2.073560307,NA,2.22E-34,3.45E-33
ULBP3,1.965664527,0.668297233,NA,2.38E-34,3.69E-33
HM13,1.265887664,8.063197139,NA,2.38E-34,3.70E-33
NOL6,1.102334919,6.306643939,NA,2.51E-34,3.88E-33
TRIM59,1.273007113,3.450481871,NA,2.83E-34,4.38E-33
AC025154.2,5.65689691,-0.789504934,NA,2.86E-34,4.43E-33
RNASEH2A,1.47865258,5.520812777,NA,2.90E-34,4.47E-33
PPRC1,1.050153926,6.059858379,NA,3.05E-34,4.70E-33
RGS16,2.091817009,4.285565716,NA,3.37E-34,5.17E-33
PANO1,1.875529853,-0.747929102,NA,3.41E-34,5.23E-33
SUV39H2,1.088355811,3.865529574,NA,3.87E-34,5.91E-33
PPA1,1.177717072,8.391447348,NA,3.89E-34,5.95E-33
CCDC86,1.27901574,5.310672908,NA,4.17E-34,6.37E-33
NOP58,1.227667185,6.607644775,NA,4.53E-34,6.91E-33
ZFAS1,1.73801502,7.082446132,NA,4.57E-34,6.97E-33
CKAP2L,1.458071828,4.005191687,NA,5.81E-34,8.82E-33
FANCB,1.908011681,1.256454083,NA,6.09E-34,9.24E-33
CHTF18,1.831939237,5.078264487,NA,6.61E-34,1.00E-32
NUFIP1,1.377965438,3.972491324,NA,6.69E-34,1.01E-32
ERCC6L,1.701429384,3.218924447,NA,7.02E-34,1.06E-32
NUF2,1.649941871,4.056732596,NA,7.95E-34,1.20E-32
SORD,1.402958336,5.76180206,NA,8.00E-34,1.21E-32
GJB4,3.755688101,2.107508225,NA,8.40E-34,1.27E-32
ATP6V1FNB,2.245092729,2.274974638,NA,8.68E-34,1.31E-32
LY6G6E,5.414576028,-1.339039298,NA,8.70E-34,1.31E-32
LY6G6F,5.358764155,-1.66118969,NA,9.24E-34,1.39E-32
RRS1,1.384871438,5.595552597,NA,1.07E-33,1.61E-32
LIF,1.824550612,5.131681999,NA,1.15E-33,1.72E-32
GNL3,1.111442756,6.850034909,NA,1.19E-33,1.77E-32
AL163953.1,3.458792286,-0.357908888,NA,1.20E-33,1.80E-32
CORIN,3.381446536,1.34867855,NA,1.21E-33,1.81E-32
SLC7A11,2.548877162,4.63368258,NA,1.32E-33,1.98E-32
TBC1D30,1.318546902,4.050799863,NA,1.43E-33,2.13E-32
PKMYT1,1.935718206,5.164190407,NA,1.51E-33,2.25E-32
PGGHG,3.146577437,6.338386102,NA,1.53E-33,2.27E-32
SHH,2.190565588,4.815487989,NA,1.69E-33,2.51E-32
S100A2,4.494201287,3.673425925,NA,1.89E-33,2.79E-32
PSRC1,1.322792033,3.803464997,NA,1.94E-33,2.87E-32
COMP,6.016228098,4.488563951,NA,2.12E-33,3.12E-32
PIF1,1.633448031,2.990175253,NA,2.17E-33,3.20E-32
SLCO4A1-AS1,3.761422308,3.433728785,NA,2.24E-33,3.30E-32
AC107959.3,3.154828518,-0.76869156,NA,2.30E-33,3.38E-32
AC006329.1,2.91566082,2.417667664,NA,2.36E-33,3.47E-32
IRX5,4.119920103,0.44950633,NA,2.66E-33,3.91E-32
CYSRT1,2.641292457,0.525585239,NA,2.80E-33,4.11E-32
LDLRAD3,1.93109071,3.989165544,NA,3.07E-33,4.49E-32
AC234772.2,3.714136164,-1.664657535,NA,3.27E-33,4.79E-32
PPP2R3B,1.649787266,4.134420576,NA,3.41E-33,4.98E-32
AL390729.1,2.846452678,-0.513044237,NA,3.53E-33,5.15E-32
CA9,5.526037979,5.644798512,NA,3.57E-33,5.21E-32
AC104024.2,4.075019607,-1.528220252,NA,3.69E-33,5.37E-32
RAN,1.012575766,8.600370345,NA,3.89E-33,5.66E-32
EIF2S2,1.141889815,7.241866948,NA,3.94E-33,5.73E-32
TRAIP,1.245217594,3.345846767,NA,3.94E-33,5.73E-32
NPSR1-AS1,6.309042784,-0.025659162,NA,4.30E-33,6.24E-32
UBE2T,1.444544849,4.748172244,NA,4.93E-33,7.13E-32
TIGD1,1.493541615,2.420294817,NA,5.60E-33,8.10E-32
SRPX2,3.078387808,5.021412562,NA,5.80E-33,8.37E-32
AL391244.3,1.340071061,1.384915564,NA,6.04E-33,8.70E-32
KIF4A,1.317227227,5.170232426,NA,6.18E-33,8.91E-32
AHCY,1.662962845,9.03850618,NA,6.23E-33,8.98E-32
HSPD1,1.292970916,9.398740702,NA,6.67E-33,9.61E-32
KIF14,1.776473575,3.572141135,NA,7.40E-33,1.06E-31
SNHG12,1.365810065,3.936560551,NA,7.43E-33,1.07E-31
TRAF5,1.503112619,5.844632466,NA,7.47E-33,1.07E-31
MIR17HG,2.820911052,1.871352557,NA,8.03E-33,1.15E-31
NCAPH,1.219787807,4.727143148,NA,8.09E-33,1.16E-31
CLBA1,1.257610498,3.448283551,NA,9.16E-33,1.31E-31
PAFAH1B3,1.622666932,5.662767504,NA,9.48E-33,1.35E-31
LINC02320,2.921719371,-0.767639296,NA,9.51E-33,1.36E-31
RAD18,1.005258076,4.686076941,NA,9.53E-33,1.36E-31
AL121832.1,4.022552587,0.352681275,NA,9.92E-33,1.42E-31
ACTR5,1.088862747,4.16290139,NA,1.09E-32,1.55E-31
TAF1D,1.280598051,6.227881464,NA,1.14E-32,1.62E-31
AXIN2,2.506367072,7.28224565,NA,1.15E-32,1.64E-31
LINC01101,5.259119733,-1.841878977,NA,1.20E-32,1.71E-31
MSH5,1.982028748,2.340177064,NA,1.24E-32,1.76E-31
PCID2,1.073536398,5.916090776,NA,1.32E-32,1.87E-31
AC073611.1,1.369596575,-0.461840022,NA,1.45E-32,2.05E-31
NCAPD3,1.034837163,5.672088875,NA,1.47E-32,2.08E-31
ALKBH2,1.218449147,4.053699429,NA,1.54E-32,2.18E-31
AC106900.2,2.471590741,-0.815882092,NA,1.67E-32,2.37E-31
PCNX2,1.318774841,4.010862688,NA,1.78E-32,2.51E-31
CST4,6.215807458,-0.748854028,NA,1.83E-32,2.59E-31
RCN1,1.24471019,7.262863913,NA,1.87E-32,2.63E-31
RACGAP1,1.068206138,6.062245788,NA,1.87E-32,2.63E-31
SHROOM4,2.014905341,4.764066872,NA,1.87E-32,2.64E-31
OTUB2,1.932215022,2.962902368,NA,1.90E-32,2.68E-31
KPNA2,1.195824481,7.079735146,NA,1.95E-32,2.74E-31
NOLC1,1.060804475,7.427158747,NA,1.97E-32,2.77E-31
LINC01234,7.441905733,2.06685792,NA,2.30E-32,3.22E-31
CCNE1,1.63840135,3.793279907,NA,2.39E-32,3.34E-31
POLD2,1.298919325,7.330129994,NA,2.49E-32,3.47E-31
GAS6-AS1,3.42761564,4.015436631,NA,2.63E-32,3.67E-31
HEATR1,1.087134111,5.737864602,NA,2.71E-32,3.78E-31
ATP6V1C2,2.375541472,3.152821606,NA,2.71E-32,3.78E-31
CDK4,1.216961253,6.801322608,NA,3.18E-32,4.43E-31
XKRX,2.519346021,2.804872617,NA,3.22E-32,4.48E-31
CENPH,1.322090543,3.978134684,NA,3.46E-32,4.81E-31
MMP1,4.559565528,6.851664256,NA,3.70E-32,5.13E-31
EPHB4,1.223645422,7.33977061,NA,3.86E-32,5.35E-31
SNAI1,1.758601749,2.762711079,NA,3.93E-32,5.45E-31
KIF26B,3.163137553,3.86647899,NA,4.00E-32,5.55E-31
LINC01748,4.022352002,1.080787546,NA,4.10E-32,5.69E-31
PSPH,1.418713678,4.747413163,NA,4.36E-32,6.04E-31
C20orf144,2.119347235,-1.127549635,NA,5.07E-32,7.00E-31
RANBP1,1.081175712,6.673260337,NA,5.36E-32,7.39E-31
SNHG4,1.839361472,2.59459352,NA,5.77E-32,7.95E-31
DSN1,1.230023321,5.056065589,NA,6.07E-32,8.36E-31
DBF4B,1.195706781,3.437337078,NA,6.33E-32,8.71E-31
NSUN5P1,1.836716869,4.026599691,NA,6.69E-32,9.19E-31
MTFR2,1.393514446,3.116971438,NA,6.78E-32,9.32E-31
TMEM63A,1.306925325,7.723791171,NA,7.27E-32,9.98E-31
AC078923.1,4.630569964,-1.534991898,NA,7.75E-32,1.06E-30
E2F5,1.404317506,4.221045755,NA,7.85E-32,1.07E-30
CYP4A22-AS1,2.255030173,-1.608608193,NA,7.91E-32,1.08E-30
RPP40,1.286824249,3.200829364,NA,8.21E-32,1.12E-30
TMEM105,2.409825571,1.069132818,NA,8.32E-32,1.14E-30
LRRC36,3.219654058,1.924618734,NA,8.33E-32,1.14E-30
TACSTD2,4.99532979,5.511623396,NA,8.99E-32,1.23E-30
RAB36,1.828297722,3.540126143,NA,9.49E-32,1.29E-30
RRP7BP,1.205891558,2.83379284,NA,1.00E-31,1.36E-30
CEBPB,1.559033588,6.039229036,NA,1.00E-31,1.36E-30
MCM7,1.280034447,8.010184521,NA,1.07E-31,1.45E-30
RRM2,1.367150743,6.855550252,NA,1.13E-31,1.53E-30
MCM3,1.061747191,7.40491272,NA,1.15E-31,1.56E-30
PKP1,4.050376474,3.713502286,NA,1.20E-31,1.63E-30
ZC3H8,1.094194686,3.91293303,NA,1.24E-31,1.68E-30
CDC6,1.666867671,5.357013369,NA,1.30E-31,1.76E-30
CCNB1,1.451013855,6.475348191,NA,1.44E-31,1.94E-30
PMAIP1,1.958561193,3.81459047,NA,1.50E-31,2.02E-30
SLC7A6,1.211154888,4.535796039,NA,1.51E-31,2.03E-30
NANP,1.26880733,3.685311976,NA,1.51E-31,2.03E-30
ALKAL1,3.626322606,0.981969528,NA,1.66E-31,2.23E-30
AC005256.1,6.061973857,-1.312742792,NA,1.68E-31,2.25E-30
SOX14,7.341844788,0.798136177,NA,1.92E-31,2.57E-30
LRP11,1.152728214,6.124700925,NA,1.96E-31,2.62E-30
CHEK1,1.178499517,4.885119277,NA,2.00E-31,2.67E-30
PLAU,2.067727364,6.121523451,NA,2.05E-31,2.74E-30
SLC22A3,1.982767642,4.52900522,NA,2.29E-31,3.05E-30
ZNF485,1.146909348,2.148378421,NA,2.38E-31,3.18E-30
MHENCR,1.905341738,2.727477716,NA,2.52E-31,3.35E-30
WISP1,2.553001476,3.016858744,NA,2.87E-31,3.81E-30
CXCL1,2.904020222,6.369537606,NA,3.14E-31,4.16E-30
SPTBN5,3.112489056,2.911537754,NA,3.17E-31,4.20E-30
ASPHD1,2.398813059,3.225661974,NA,3.19E-31,4.22E-30
NKD1,4.106089944,6.645957507,NA,3.71E-31,4.91E-30
TNNI3,4.79957694,0.829705536,NA,4.17E-31,5.50E-30
URB1,1.032841255,5.776662897,NA,4.29E-31,5.65E-30
AL590483.1,3.298698786,-1.753786116,NA,4.58E-31,6.03E-30
AL161431.1,5.536227874,3.265419768,NA,4.67E-31,6.15E-30
AC105219.2,4.224807422,-1.848690878,NA,4.96E-31,6.52E-30
OVGP1,1.642506495,2.626621562,NA,5.89E-31,7.72E-30
TCF24,4.1581477,-1.727571875,NA,5.96E-31,7.82E-30
KRT75,7.102822567,0.892131092,NA,6.23E-31,8.15E-30
FGFRL1,2.410946253,6.561686009,NA,6.25E-31,8.18E-30
ZNF695,2.003386296,0.833586606,NA,6.43E-31,8.40E-30
MFAP2,2.391952806,4.2989538,NA,6.44E-31,8.41E-30
ZDHHC9,1.240849313,7.271732427,NA,6.61E-31,8.63E-30
AC007406.3,2.495659744,-1.421823029,NA,6.95E-31,9.06E-30
SNHG20,1.191969979,2.731142608,NA,7.21E-31,9.39E-30
LEF1-AS1,2.200710739,-1.520958361,NA,7.27E-31,9.47E-30
DDX11-AS1,1.575917958,-0.045169922,NA,7.60E-31,9.88E-30
RTL10,1.108517079,5.011233669,NA,7.70E-31,1.00E-29
NR2C2AP,1.116751414,4.830838565,NA,7.73E-31,1.01E-29
SLC12A9-AS1,2.167983654,0.162551076,NA,7.93E-31,1.03E-29
9-Mar,1.021693837,4.566222249,NA,7.99E-31,1.04E-29
ZNF280C,1.324637313,2.671207417,NA,8.14E-31,1.06E-29
AL390879.1,1.610515946,1.285263494,NA,8.24E-31,1.07E-29
AGAP3,1.105042987,6.452728043,NA,9.71E-31,1.26E-29
AL391056.1,3.172294787,1.57765423,NA,9.95E-31,1.29E-29
PALD1,1.955868441,5.586696009,NA,1.17E-30,1.52E-29
MCRIP2P1,4.34148602,-1.519324564,NA,1.22E-30,1.58E-29
AC126773.2,2.03077803,-1.341612091,NA,1.39E-30,1.80E-29
RRP1,1.204842496,5.583583346,NA,1.42E-30,1.82E-29
SLC3A2,1.145636004,7.624744062,NA,1.46E-30,1.88E-29
GTPBP3,1.077546514,4.572783465,NA,1.50E-30,1.93E-29
DDX10,1.038905023,5.172283525,NA,1.57E-30,2.02E-29
JAG2,2.022072663,5.576346528,NA,1.59E-30,2.05E-29
WDR90,1.633654979,5.704910492,NA,1.77E-30,2.26E-29
AC004967.1,1.419549302,1.885534987,NA,1.79E-30,2.29E-29
PNO1,1.020873506,5.097204144,NA,1.98E-30,2.53E-29
CLPB,1.112660526,4.328222776,NA,2.03E-30,2.59E-29
DNMT3B,1.708026129,2.754664325,NA,2.20E-30,2.80E-29
TGIF1,1.04466711,6.536708338,NA,2.23E-30,2.83E-29
WNT7B,5.687147142,0.925895921,NA,2.30E-30,2.93E-29
MIR503HG,3.204506648,0.59526079,NA,2.34E-30,2.97E-29
AC026336.3,8.621703534,1.104085338,NA,2.36E-30,3.00E-29
KIF18A,1.341959867,3.305806766,NA,2.39E-30,3.03E-29
AL162582.1,6.060743718,-0.06911055,NA,2.43E-30,3.08E-29
HELLS,1.471752482,4.738025334,NA,2.51E-30,3.18E-29
DLX4,2.443032215,-0.163036751,NA,2.72E-30,3.44E-29
C2orf15,1.243450745,2.290608025,NA,2.77E-30,3.50E-29
OACYLP,2.646116863,-1.549393474,NA,2.81E-30,3.55E-29
ADGRG1,1.381872582,8.028164077,NA,2.88E-30,3.64E-29
LINC00346,2.048573628,2.035173079,NA,3.00E-30,3.78E-29
GRPEL2,1.0439611,4.684456816,NA,3.15E-30,3.97E-29
GABRE,2.398965783,5.155033804,NA,3.16E-30,3.98E-29
DKK4,8.314730072,2.558216493,NA,3.19E-30,4.02E-29
KRT17,5.195918284,4.969147291,NA,3.28E-30,4.13E-29
AMELX,5.063484287,-1.267622183,NA,3.35E-30,4.22E-29
PASK,1.063441222,4.239556231,NA,3.41E-30,4.28E-29
AC117386.2,5.783778336,-1.302023132,NA,3.54E-30,4.44E-29
BX470102.1,2.408198354,1.449828418,NA,3.60E-30,4.51E-29
AC093724.1,1.730136006,0.484722542,NA,3.73E-30,4.67E-29
EXOSC5,1.453253902,5.356151633,NA,3.82E-30,4.79E-29
AC100791.2,4.036901414,-1.891979229,NA,3.83E-30,4.80E-29
RNU1-106P,2.873687577,-1.723098892,NA,3.84E-30,4.80E-29
DDX21,1.147140861,7.476687082,NA,4.13E-30,5.17E-29
TMPRSS13,3.395577725,3.525321082,NA,4.19E-30,5.25E-29
UCN,2.327065734,-0.108159608,NA,4.42E-30,5.52E-29
NOP16,1.123482557,5.248755883,NA,4.48E-30,5.60E-29
MAD2L1,1.405639781,5.659386973,NA,5.05E-30,6.29E-29
PRR11,1.307050856,4.64821142,NA,5.23E-30,6.51E-29
AP001160.1,1.807197612,-0.796369273,NA,5.38E-30,6.70E-29
EXOSC8,1.120753225,5.226029428,NA,5.88E-30,7.31E-29
TCN1,7.297760013,4.677946714,NA,6.57E-30,8.15E-29
BIRC5,1.420100236,6.191190411,NA,6.62E-30,8.20E-29
SLCO1B3,6.43953411,2.055027841,NA,6.64E-30,8.22E-29
C5orf46,5.702708125,-0.726216364,NA,7.53E-30,9.31E-29
FANCD2,1.107349856,4.744149323,NA,8.11E-30,1.00E-28
NUP62CL,1.540091698,2.371067199,NA,8.14E-30,1.00E-28
MROH6,2.331769189,5.117825703,NA,8.27E-30,1.02E-28
ARID3A,2.269665811,5.678772323,NA,9.31E-30,1.15E-28
DNAAF5,1.028522616,6.178175857,NA,9.36E-30,1.15E-28
CDK1,1.468494274,5.985552935,NA,9.58E-30,1.18E-28
DTL,1.274368808,4.588791074,NA,1.03E-29,1.27E-28
AKR1C4,5.881124279,0.697069973,NA,1.12E-29,1.38E-28
AC026704.1,2.150933728,-1.070113712,NA,1.20E-29,1.47E-28
C8orf74,6.028994099,-1.760280768,NA,1.21E-29,1.47E-28
MCM2,1.300392501,6.651582029,NA,1.32E-29,1.61E-28
COL6A4P1,2.341212784,-1.801718232,NA,1.33E-29,1.63E-28
TKT,1.165186502,8.876761398,NA,1.47E-29,1.80E-28
TMEM74B,2.963457493,2.901269428,NA,1.49E-29,1.82E-28
IPO5,1.025058112,8.010704757,NA,1.55E-29,1.89E-28
LINC01232,1.642705692,2.681634235,NA,1.57E-29,1.92E-28
EBPL,1.159151348,5.61857963,NA,1.65E-29,2.01E-28
PLK1,1.441374173,6.185863325,NA,1.67E-29,2.03E-28
DNAH2,2.829701273,2.415754033,NA,1.77E-29,2.15E-28
TNFRSF10B,1.251503916,6.489653063,NA,1.79E-29,2.18E-28
ADAM20P3,5.589643765,-1.97678737,NA,1.90E-29,2.30E-28
KCNH8,2.526273272,2.404228977,NA,1.97E-29,2.39E-28
CEL,6.09881974,5.345669385,NA,2.00E-29,2.42E-28
SAMD10,1.550128414,4.073424308,NA,2.03E-29,2.46E-28
TFR2,3.135062333,2.622319537,NA,2.05E-29,2.48E-28
GRINA,1.453145069,7.949761016,NA,2.29E-29,2.76E-28
SIGMAR1,1.269438005,7.287918507,NA,2.30E-29,2.78E-28
GBX2,5.536639528,-1.268947747,NA,2.56E-29,3.09E-28
CPNE1,1.800048658,7.891728216,NA,2.63E-29,3.17E-28
STX1A,1.851356421,3.543819827,NA,2.84E-29,3.41E-28
HMGA1,1.446173862,9.024752296,NA,2.99E-29,3.60E-28
MMS22L,1.282049875,4.120938642,NA,3.03E-29,3.64E-28
PCSK9,2.714454533,6.163945662,NA,3.35E-29,4.03E-28
CAPN10-DT,1.315520372,1.468963692,NA,3.38E-29,4.06E-28
CFAP45,2.110577673,0.076189937,NA,3.79E-29,4.54E-28
FIGNL1,1.162189819,4.293388316,NA,4.07E-29,4.87E-28
P3H1,1.205193845,4.810244732,NA,4.21E-29,5.04E-28
RPN2,1.000529154,9.113632503,NA,4.34E-29,5.19E-28
ANXA3,1.612014101,6.672697801,NA,4.69E-29,5.60E-28
PPIAP45,3.349856531,-2.391603079,NA,5.09E-29,6.07E-28
AC087388.1,1.541733822,0.558908567,NA,5.56E-29,6.63E-28
PDRG1,1.392290046,5.28037863,NA,5.90E-29,7.01E-28
NECTIN4,1.998088641,4.330198312,NA,6.19E-29,7.35E-28
AP005233.2,3.812716383,-0.094309906,NA,6.40E-29,7.60E-28
NUTF2,1.034643067,7.036599078,NA,6.42E-29,7.62E-28
CCNB1IP1,1.125106481,5.779028169,NA,7.07E-29,8.38E-28
PPEF1,2.731135367,-1.029168817,NA,7.10E-29,8.41E-28
PRR19,1.551180103,0.570067175,NA,7.13E-29,8.45E-28
LEF1,2.090868721,3.913126869,NA,7.19E-29,8.52E-28
IBSP,5.902616616,0.318010561,NA,7.52E-29,8.90E-28
MYEOV,3.070158341,5.00121965,NA,8.07E-29,9.55E-28
BRCA1,1.216994042,4.809509696,NA,8.44E-29,9.96E-28
CKS2,1.437975664,5.878780655,NA,8.71E-29,1.03E-27
UNC5CL,2.129831906,4.061407353,NA,8.85E-29,1.04E-27
SNHG3,1.426919506,5.317755348,NA,9.20E-29,1.08E-27
C2-AS1,3.108746848,-2.06898788,NA,9.27E-29,1.09E-27
LBX2,1.753694325,0.352532906,NA,1.04E-28,1.22E-27
PRC1,1.164709125,5.92871424,NA,1.05E-28,1.24E-27
SHB,1.179019696,4.629620483,NA,1.10E-28,1.29E-27
TOP2A,1.397992776,7.410439028,NA,1.15E-28,1.35E-27
AP001453.2,1.9927596,0.876584528,NA,1.15E-28,1.35E-27
ARHGEF39,1.2353109,4.017206747,NA,1.19E-28,1.39E-27
NOC3L,1.095884382,4.461319275,NA,1.19E-28,1.40E-27
GOLGA7B,2.509566828,3.275627785,NA,1.24E-28,1.45E-27
AC009404.1,1.488206103,1.029346825,NA,1.26E-28,1.47E-27
DSG4,2.196527383,0.268050795,NA,1.32E-28,1.55E-27
STIL,1.190418557,4.616466422,NA,1.44E-28,1.68E-27
BFSP1,1.860762755,1.670416339,NA,1.45E-28,1.68E-27
TRPM2-AS,3.402933238,2.181043466,NA,1.48E-28,1.73E-27
NT5DC2,1.670884412,6.224469864,NA,1.54E-28,1.79E-27
TDGF1,3.028705371,4.864273197,NA,1.55E-28,1.80E-27
HSF4,2.0745602,3.45114834,NA,1.57E-28,1.83E-27
CLEC5A,3.481471603,1.658681969,NA,1.66E-28,1.93E-27
AC073283.1,3.291516914,-1.058802889,NA,1.75E-28,2.03E-27
AP005230.1,3.859934207,-1.801296741,NA,1.80E-28,2.09E-27
PERP,1.264026676,8.931334558,NA,1.96E-28,2.26E-27
SSC4D,1.304230249,0.219227815,NA,2.02E-28,2.33E-27
PNPT1,1.005780548,5.605158101,NA,2.07E-28,2.39E-27
TMEM161A,1.328715733,5.654368612,NA,2.52E-28,2.90E-27
CDC25C,1.208321461,3.328266635,NA,2.80E-28,3.22E-27
TAF1A,1.243436211,2.633880524,NA,2.95E-28,3.39E-27
AC124319.1,3.543279613,-0.14178574,NA,3.09E-28,3.54E-27
LINC02257,5.237756662,-1.682654702,NA,3.09E-28,3.54E-27
AC104823.1,8.063025264,2.500065587,NA,3.26E-28,3.74E-27
CYP2D7,2.626364146,0.724702521,NA,3.27E-28,3.74E-27
CMTM7,1.463659814,4.433822878,NA,3.67E-28,4.19E-27
GPR3,2.145611329,0.719135778,NA,3.85E-28,4.39E-27
ANOS1,2.853129498,3.168294592,NA,3.88E-28,4.42E-27
LINC02081,3.266688186,-0.872824107,NA,3.99E-28,4.55E-27
GNB1L,1.534802181,3.486335824,NA,4.06E-28,4.63E-27
TSEN2,1.174872812,4.215130612,NA,4.09E-28,4.66E-27
LINC01132,1.716940848,-0.065735922,NA,4.21E-28,4.79E-27
LINC01836,2.616985231,-0.601855482,NA,4.56E-28,5.18E-27
AC010719.1,2.303252371,1.242064179,NA,4.67E-28,5.30E-27
RTEL1-TNFRSF6B,2.045977399,2.585809179,NA,4.72E-28,5.36E-27
C5orf66,1.287283214,0.936062748,NA,4.74E-28,5.37E-27
ACSL6,4.318401116,4.61236904,NA,4.89E-28,5.54E-27
DNA2,1.350229886,3.604966841,NA,5.03E-28,5.70E-27
VMA21,1.073204197,5.682252125,NA,5.21E-28,5.89E-27
SCML1,1.576953759,4.969685264,NA,5.21E-28,5.90E-27
KIF24,1.077948352,3.178863043,NA,5.31E-28,6.00E-27
CACNG8,3.487990077,0.115365514,NA,5.61E-28,6.34E-27
BGN,2.567881798,8.048522682,NA,6.06E-28,6.84E-27
MMP13,5.497392045,1.160187257,NA,6.09E-28,6.88E-27
SLC16A1-AS1,1.801977,1.927702188,NA,6.17E-28,6.96E-27
MCM4,1.198879067,7.25231404,NA,6.89E-28,7.76E-27
PDCD5,1.064980014,6.157256937,NA,7.31E-28,8.23E-27
