"","logFC","logCPM","PValue","FDR"
"SNX25P1",1.30659366397195,-0.306485174654625,3.51907050587176e-19,2.38017543335488e-18
"TLCD1",1.37016986169503,4.0454112011837,3.53284804388692e-19,2.38847139419045e-18
"THEM6",1.3000362545423,6.36549753522295,3.55212526069237e-19,2.40047686333805e-18
"AL096828.3",1.78808028832533,-1.81906702911463,3.55945637549301e-19,2.40440250739685e-18
"SPRR2D",7.4790783359765,0.550341571799279,3.63633836477047e-19,2.4542370851996e-18
"WISP3",4.32219503883791,1.489900862836,3.69246678263664e-19,2.49158699410165e-18
"MAGEB17",5.52067586014499,1.53894886015128,3.81423921420751e-19,2.57210799347829e-18
"SH3TC2-DT",2.86191432540563,-2.01003293499118,3.83334690698322e-19,2.58444150303715e-18
"GAS5",1.18613171877147,7.67658871773897,3.84738294498599e-19,2.59335117091834e-18
"AL662899.1",3.56399792819685,-2.80888523863992,4.03654555982493e-19,2.71737873154803e-18
"KIFC2",1.63371597632184,4.64686158819465,4.06331282134451e-19,2.73481555101698e-18
"KDELC1P1",3.43790094692054,-1.66540639266357,4.07043199961612e-19,2.73902360306437e-18
"ZNF469",1.9556601498304,3.21371884031969,4.14573546822127e-19,2.78850799760516e-18
"MMP8",5.59002442026042,0.164281249247469,4.23518886235379e-19,2.84685790911369e-18
"AC079612.1",3.13685729123977,-3.3366003718384,4.32554374346975e-19,2.90697518586343e-18
"FOXP4",1.04047831928558,7.26486166824285,4.3361574378524e-19,2.91348834398279e-18
"DOK7",2.09540659844915,1.76503049365042,4.34355649607755e-19,2.91783925963381e-18
"AP002478.1",3.90685472180265,-1.71833377613234,4.44589626125058e-19,2.9853177594408e-18
"CYP2S1",1.3426120788418,7.64666428557953,4.79693146647692e-19,3.21556239805655e-18
"ZGRF1",1.12014905598017,2.54063789386261,5.14662236140573e-19,3.44631708910324e-18
